Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-May-2022,EQ,3435.0,3439.9,3382.15,3408.65,3409.0,3414.9,3409.83,4043.0,3036.0,2187823,7460096134.45,148468
12-May-2022,EQ,3378.0,3449.7,3350.1,3412.0,3413.25,3408.65,3415.9,4043.0,3036.0,2807195,9589106457.9,194805
11-May-2022,EQ,3435.0,3448.45,3382.15,3438.75,3422.25,3412.0,3411.67,4043.0,3036.0,1841769,6283511939.4,144928
10-May-2022,EQ,3434.0,3464.8,3422.0,3445.1,3439.5,3438.75,3448.48,4043.0,3036.0,1622685,5595800071.9,145050
09-May-2022,EQ,3398.0,3456.0,3346.85,3432.6,3445.05,3445.1,3410.95,4043.0,3036.0,2481830,8465389113.2,163369
06-May-2022,EQ,3459.0,3474.5,3424.5,3513.4,3443.15,3432.6,3444.54,4043.0,3004.0,2010812,6926321262.7,184661
05-May-2022,EQ,3512.1,3533.0,3485.35,3479.75,3508.75,3513.4,3511.1,4043.0,3004.0,1612262,5660812779.4,93993
04-May-2022,EQ,3538.5,3545.45,3465.3,3542.4,3483.8,3479.75,3511.35,4043.0,3004.0,2305825,8096556485.0,174763
02-May-2022,EQ,3519.9,3547.95,3492.75,3546.7,3538.7,3542.4,3520.91,4043.0,3004.0,1324161,4662247237.85,118662
29-Apr-2022,EQ,3597.0,3623.25,3536.85,3584.3,3548.0,3546.7,3576.78,4043.0,3004.0,2051115,7336393454.55,107015
28-Apr-2022,EQ,3588.0,3604.4,3538.05,3561.2,3580.0,3584.3,3574.03,4043.0,3004.0,1703660,6088933925.5,122574
27-Apr-2022,EQ,3546.0,3568.45,3506.3,3546.3,3560.0,3561.2,3540.41,4043.0,3004.0,1727648,6116579202.75,111612
26-Apr-2022,EQ,3575.15,3587.9,3518.15,3548.2,3544.0,3546.3,3550.67,4043.0,3004.0,1943469,6900626735.65,139910
25-Apr-2022,EQ,3558.0,3584.0,3533.1,3612.55,3546.05,3548.2,3557.8,4043.0,3004.0,1960694,6975753255.7,146368
22-Apr-2022,EQ,3581.1,3617.0,3571.5,3628.65,3613.0,3612.55,3602.06,4043.0,3004.0,1581465,5696536818.6,93552
21-Apr-2022,EQ,3580.0,3644.0,3567.4,3556.8,3621.0,3628.65,3619.23,4043.0,3004.0,2280996,8255439639.1,136751
20-Apr-2022,EQ,3500.0,3569.15,3480.0,3471.9,3558.0,3556.8,3546.74,4043.0,3004.0,2640370,9364702419.1,185024
